n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
1000;0;3;6.412193;0.000000;0.011364;0.000000
1000;1;3;12.567265;0.000000;0.011734;0.000000
1000;2;3;12.590495;0.000000;0.011104;0.000000
1100;0;3;7.050833;0.000000;0.014185;0.000000
1100;1;3;13.887104;0.000000;0.013781;0.000000
1100;2;3;7.052299;0.000000;0.013211;0.000000
1200;0;3;7.693936;0.000000;0.014755;0.000000
1200;1;3;7.724587;0.000000;0.014791;0.000000
1200;2;3;15.274783;0.000000;0.015653;0.000000
1300;0;3;16.558910;0.000000;0.015979;0.000000
1300;1;3;8.407889;0.000000;0.016884;0.000000
1300;2;3;8.408022;0.000000;0.016355;0.000000
1400;0;3;9.052231;0.000000;0.016583;0.000000
1400;1;3;9.053291;0.000000;0.017380;0.000000
1400;2;3;9.053376;0.000000;0.016740;0.000000
1500;0;3;9.700667;0.000000;0.017911;0.000000
1500;1;3;9.699772;0.000000;0.017045;0.000000
1500;2;3;19.100393;0.000000;0.018220;0.000000
1600;0;3;10.344074;0.000000;0.018946;0.000000
1600;1;3;10.332777;0.000000;0.018885;0.000000
1600;2;3;10.337067;0.000000;0.019320;0.000000
1700;0;3;21.633043;0.000000;0.019660;0.000000
1700;1;3;21.639870;0.000000;0.019606;0.000000
1700;2;3;21.741264;0.000000;0.019474;0.000000
1800;0;3;11.631203;0.000000;0.020131;0.000000
1800;1;3;11.628754;0.000000;0.019852;0.000000
1800;2;3;11.633135;0.000000;0.019743;0.000000
1900;0;3;24.195482;0.000000;0.020786;0.000000
1900;1;3;12.277234;0.000000;0.021482;0.000000
1900;2;3;12.276716;0.000000;0.021776;0.000000
2000;0;3;12.969222;0.000000;0.022528;0.000000
2000;1;3;25.815371;0.000000;0.021987;0.000000
2000;2;3;13.103270;0.000000;0.022875;0.000000
