n;iter;niter;time_GPU_mem;time_CPU;loss_GPU_mem;loss_CPU
1;0;3;0.000300;0.000000;nan;0.000000
1;1;3;0.000293;0.000000;0.000000;0.000000
1;2;3;0.000290;0.000000;0.000001;0.000000
3;0;3;0.024886;0.000000;nan;0.000000
3;1;3;0.024900;0.000000;0.000031;0.000000
3;2;3;0.025028;0.000000;0.000010;0.000000
5;0;3;0.039664;0.000000;0.000050;0.000000
5;1;3;0.039668;0.000000;0.000039;0.000000
5;2;3;0.038981;0.000000;0.000043;0.000000
7;0;3;0.049197;0.000000;nan;0.000000
7;1;3;0.049171;0.000000;0.000069;0.000000
7;2;3;0.048573;0.000000;nan;0.000000
9;0;3;0.058457;0.000000;0.000079;0.000000
9;1;3;0.057661;0.000000;0.000101;0.000000
9;2;3;0.057676;0.000000;nan;0.000000
11;0;3;0.069857;0.000000;0.000074;0.000000
11;1;3;0.070190;0.000000;0.000105;0.000000
11;2;3;0.070187;0.000000;0.000100;0.000000
13;0;3;0.082428;0.000000;0.000069;0.000000
13;1;3;0.082419;0.000000;0.000067;0.000000
13;2;3;0.082427;0.000000;0.000112;0.000000
15;0;3;0.094197;0.000000;0.000122;0.000000
15;1;3;0.094201;0.000000;0.000146;0.000000
15;2;3;0.094668;0.000000;0.000157;0.000000
17;0;3;0.106929;0.000000;0.000203;0.000000
17;1;3;0.107469;0.000000;0.000216;0.000000
17;2;3;0.107459;0.000000;0.000095;0.000000
19;0;3;0.119194;0.000000;0.000127;0.000000
19;1;3;0.119180;0.000000;0.000219;0.000000
19;2;3;0.119178;0.000000;0.000159;0.000000
21;0;3;0.132783;0.000000;0.000227;0.000000
21;1;3;0.132753;0.000000;0.000328;0.000000
21;2;3;0.132737;0.000000;nan;0.000000
23;0;3;0.144447;0.000000;0.000241;0.000000
23;1;3;0.144415;0.000000;0.000222;0.000000
23;2;3;0.145150;0.000000;0.000276;0.000000
25;0;3;0.157584;0.000000;0.000319;0.000000
25;1;3;0.157598;0.000000;0.000294;0.000000
25;2;3;0.157640;0.000000;0.000320;0.000000
27;0;3;0.170026;0.000000;0.000271;0.000000
27;1;3;0.170040;0.000000;0.000319;0.000000
27;2;3;0.169186;0.000000;0.000245;0.000000
29;0;3;0.360886;0.000000;0.000340;0.000000
29;1;3;0.182321;0.000000;0.000306;0.000000
29;2;3;0.182330;0.000000;0.000257;0.000000
31;0;3;0.193702;0.000000;0.000297;0.000000
31;1;3;0.194644;0.000000;0.000414;0.000000
31;2;3;0.194681;0.000000;0.000323;0.000000
33;0;3;0.207002;0.000000;0.000342;0.000000
33;1;3;0.206030;0.000000;0.000445;0.000000
33;2;3;0.206014;0.000000;0.000381;0.000000
35;0;3;0.219457;0.000000;0.000469;0.000000
35;1;3;0.219425;0.000000;0.000319;0.000000
35;2;3;0.219397;0.000000;0.000376;0.000000
37;0;3;0.459013;0.000000;0.000388;0.000000
37;1;3;0.231887;0.000000;0.000432;0.000000
37;2;3;0.231824;0.000000;0.000368;0.000000
39;0;3;0.242980;0.000000;0.000435;0.000000
39;1;3;0.242816;0.000000;0.000457;0.000000
39;2;3;0.244211;0.000000;0.000387;0.000000
41;0;3;0.255107;0.000000;0.000515;0.000000
41;1;3;0.508012;0.000000;0.000500;0.000000
41;2;3;0.256534;0.000000;0.000495;0.000000
43;0;3;0.269059;0.000000;0.000465;0.000000
43;1;3;0.269111;0.000000;0.000487;0.000000
43;2;3;0.268954;0.000000;0.000599;0.000000
45;0;3;0.279960;0.000000;0.000525;0.000000
45;1;3;0.279982;0.000000;0.000512;0.000000
45;2;3;0.279947;0.000000;0.000449;0.000000
47;0;3;0.293761;0.000000;0.000532;0.000000
47;1;3;0.293774;0.000000;0.000587;0.000000
47;2;3;0.293773;0.000000;0.000530;0.000000
49;0;3;0.304322;0.000000;0.000538;0.000000
49;1;3;0.306172;0.000000;0.000465;0.000000
49;2;3;0.305885;0.000000;0.000517;0.000000
51;0;3;0.318283;0.000000;0.000515;0.000000
51;1;3;0.318204;0.000000;0.000490;0.000000
51;2;3;0.317258;0.000000;0.000649;0.000000
53;0;3;0.657089;0.000000;0.000553;0.000000
53;1;3;0.330723;0.000000;0.000612;0.000000
53;2;3;0.330726;0.000000;0.000472;0.000000
55;0;3;0.343008;0.000000;0.000522;0.000000
55;1;3;0.343220;0.000000;0.000633;0.000000
55;2;3;0.679403;0.000000;0.000759;0.000000
57;0;3;0.355477;0.000000;0.000603;0.000000
57;1;3;0.355482;0.000000;0.000744;0.000000
57;2;3;0.353539;0.000000;0.000641;0.000000
59;0;3;0.368080;0.000000;0.000619;0.000000
59;1;3;0.368083;0.000000;0.000660;0.000000
59;2;3;0.368026;0.000000;0.000651;0.000000
61;0;3;0.380396;0.000000;0.000614;0.000000
61;1;3;0.380394;0.000000;0.000596;0.000000
61;2;3;0.380382;0.000000;0.000745;0.000000
63;0;3;0.390502;0.000000;0.000760;0.000000
63;1;3;0.392766;0.000000;0.000493;0.000000
63;2;3;0.392764;0.000000;0.000554;0.000000
65;0;3;0.402855;0.000000;0.000647;0.000000
65;1;3;0.405372;0.000000;0.000613;0.000000
65;2;3;0.405050;0.000000;0.000732;0.000000
67;0;3;0.417433;0.000000;0.000759;0.000000
67;1;3;0.417518;0.000000;0.000870;0.000000
67;2;3;0.825309;0.000000;0.001119;0.000000
69;0;3;0.427731;0.000000;0.000765;0.000000
69;1;3;0.427706;0.000000;0.000698;0.000000
69;2;3;0.851921;0.000000;0.000901;0.000000
71;0;3;0.440280;0.000000;0.000774;0.000000
71;1;3;0.442765;0.000000;0.000883;0.000000
71;2;3;0.442368;0.000000;0.000840;0.000000
73;0;3;0.454847;0.000000;0.000902;0.000000
73;1;3;0.452784;0.000000;0.001031;0.000000
73;2;3;0.455449;0.000000;0.000879;0.000000
75;0;3;0.467883;0.000000;0.001054;0.000000
75;1;3;0.467892;0.000000;0.000754;0.000000
75;2;3;0.465092;0.000000;0.000881;0.000000
77;0;3;0.479879;0.000000;0.000986;0.000000
77;1;3;0.479895;0.000000;0.001088;0.000000
77;2;3;0.478533;0.000000;0.001044;0.000000
79;0;3;0.495657;0.000000;0.001021;0.000000
79;1;3;0.977355;0.000000;0.001012;0.000000
79;2;3;0.495659;0.000000;0.001058;0.000000
81;0;3;0.508292;0.000000;0.000959;0.000000
81;1;3;0.508303;0.000000;0.000949;0.000000
81;2;3;0.508080;0.000000;0.001026;0.000000
83;0;3;0.520888;0.000000;0.000933;0.000000
83;1;3;1.035537;0.000000;0.000970;0.000000
83;2;3;0.520906;0.000000;0.000992;0.000000
85;0;3;0.534057;0.000000;0.001205;0.000000
85;1;3;0.533482;0.000000;0.000942;0.000000
85;2;3;0.533753;0.000000;0.001031;0.000000
87;0;3;0.546152;0.000000;0.000882;0.000000
87;1;3;0.546092;0.000000;0.000983;0.000000
87;2;3;0.546209;0.000000;0.000795;0.000000
89;0;3;0.559262;0.000000;0.001151;0.000000
89;1;3;0.558818;0.000000;0.001024;0.000000
89;2;3;0.558778;0.000000;0.001095;0.000000
91;0;3;0.571463;0.000000;0.001034;0.000000
91;1;3;0.571523;0.000000;0.001291;0.000000
91;2;3;0.571515;0.000000;0.001088;0.000000
93;0;3;0.584005;0.000000;0.001030;0.000000
93;1;3;0.583989;0.000000;0.001069;0.000000
93;2;3;0.583963;0.000000;0.000992;0.000000
95;0;3;0.596975;0.000000;0.001038;0.000000
95;1;3;0.597082;0.000000;0.001171;0.000000
95;2;3;0.596589;0.000000;0.001031;0.000000
97;0;3;0.609092;0.000000;0.001069;0.000000
97;1;3;0.609138;0.000000;0.001002;0.000000
97;2;3;0.609257;0.000000;0.001217;0.000000
99;0;3;1.225928;0.000000;0.001147;0.000000
99;1;3;0.621896;0.000000;0.001021;0.000000
99;2;3;0.621840;0.000000;0.001161;0.000000
101;0;3;0.634503;0.000000;0.001174;0.000000
101;1;3;0.634489;0.000000;0.001274;0.000000
101;2;3;0.634491;0.000000;0.001161;0.000000
103;0;3;0.646736;0.000000;0.001084;0.000000
103;1;3;0.646727;0.000000;0.001215;0.000000
103;2;3;0.646985;0.000000;0.001136;0.000000
105;0;3;0.659320;0.000000;0.001458;0.000000
105;1;3;0.659329;0.000000;0.001194;0.000000
105;2;3;0.659358;0.000000;0.001206;-13546430464.000000
107;0;3;0.672145;0.000000;0.001273;0.000000
107;1;3;0.672135;0.000000;0.001234;0.000000
107;2;3;0.672071;0.000000;0.001133;0.000000
109;0;3;0.684507;0.000000;0.001346;0.000000
109;1;3;0.684547;0.000000;0.001107;0.000000
109;2;3;0.684787;0.000000;0.001156;0.000000
111;0;3;0.697447;0.000000;0.001229;0.000000
111;1;3;0.697090;0.000000;0.001044;-13546430464.000000
111;2;3;0.697016;0.000000;0.001130;0.000000
113;0;3;0.709792;0.000000;0.001228;-13546430464.000000
113;1;3;0.710057;0.000000;0.001185;-13546430464.000000
113;2;3;1.401090;0.000000;0.001148;-13546430464.000000
115;0;3;1.434065;0.000000;0.001198;-13546430464.000000
