n;iter;niter;time_GPU_mem;time_CPU;loss_GPU_mem;loss_CPU
1000;0;2;6.608860;0.000000;0.011364;0.000000
1000;1;2;6.577638;0.000000;0.011734;-0.000000
1100;0;2;7.217890;0.000000;0.013438;-0.000000
1100;1;2;7.219437;0.000000;0.013727;-0.000000
1200;0;2;7.838318;0.000000;0.015173;-0.000000
1200;1;2;7.861808;0.000000;0.014854;-0.000000
1300;0;2;8.516543;0.000000;0.015804;-0.000000
1300;1;2;8.507282;0.000000;0.016183;-0.000000
1400;0;2;9.184557;0.000000;0.016888;-0.000000
1400;1;2;9.183512;0.000000;0.017245;-0.000000
1500;0;2;9.843733;0.000000;0.017544;-0.000000
1500;1;2;9.841296;0.000000;0.016978;-0.000000
1600;0;2;10.482622;0.000000;0.019285;-0.000000
1600;1;2;20.636086;0.000000;0.018302;-0.000000
1700;0;2;11.149205;0.000000;0.020005;-0.000000
1700;1;2;11.141476;0.000000;0.019155;-0.000000
1800;0;2;11.808291;0.000000;0.020112;-0.000000
1800;1;2;11.801879;0.000000;0.020905;-0.000000
1900;0;2;12.478290;0.000000;0.021584;-0.000000
1900;1;2;12.476107;0.000000;0.021608;-0.000000
2000;0;2;13.160163;0.000000;0.022809;-0.000000
2000;1;2;13.314975;0.000000;0.021961;-0.000000
