n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
1;0;3;0.010475;0.000675;0.000001;0.000001
1;1;3;0.000293;0.000001;0.000000;0.000000
1;2;3;0.010497;0.000676;0.000001;0.000001
2;0;3;0.017662;0.000001;0.000011;0.000000
2;1;3;0.017594;0.000830;0.000013;0.000023
2;2;3;0.017593;0.000835;0.000008;0.000004
3;0;3;0.049219;0.001950;0.000010;0.000022
3;1;3;0.049121;0.001929;0.000025;0.000046
3;2;3;0.023378;0.001957;0.000033;0.000022
4;0;3;0.058004;0.003339;0.000026;0.000026
4;1;3;0.057746;0.003374;0.000021;0.000022
4;2;3;0.028869;0.003355;0.000019;0.000021
5;0;3;0.033451;0.005038;0.000037;0.000052
5;1;3;0.033457;0.005012;0.000025;0.000039
5;2;3;0.033488;0.005005;0.000048;0.000036
6;0;3;0.079162;0.007256;0.000070;0.000047
6;1;3;0.039763;0.007006;0.000045;0.000045
6;2;3;0.079178;0.005152;0.000062;0.000058
7;0;3;0.045651;0.007883;0.000056;0.000056
7;1;3;0.091434;0.007846;0.000026;0.000046
7;2;3;0.045882;0.007857;0.000016;0.000059
8;0;3;0.051751;0.008567;0.000086;0.000029
8;1;3;0.051766;0.008557;0.000100;0.000053
8;2;3;0.051776;0.010013;0.000069;0.000090
9;0;3;0.058155;0.013952;0.000038;0.000089
9;1;3;0.115444;0.012376;0.000099;0.000083
9;2;3;0.116002;0.013905;0.000125;0.000061
10;0;3;0.128301;0.016699;0.000089;0.000095
10;1;3;0.064304;0.016741;0.000051;0.000090
10;2;3;0.064314;0.015081;0.000119;0.000073
11;0;3;0.070459;0.017906;0.000094;0.000096
11;1;3;0.140576;0.017960;0.000184;0.000069
11;2;3;0.140584;0.017959;0.000128;0.000080
12;0;3;0.076252;0.021003;0.000131;0.000200
12;1;3;0.152112;0.021003;0.000146;0.000114
12;2;3;0.076244;0.021159;0.000179;0.000103
13;0;3;0.165155;0.029046;0.000108;0.000172
13;1;3;0.165183;0.031474;0.000102;0.000140
13;2;3;0.165191;0.029151;0.000144;0.000157
14;0;3;0.088484;0.035860;0.000173;0.000141
14;1;3;0.176591;0.033403;0.000153;0.000078
14;2;3;0.088499;0.033291;0.000137;0.000134
15;0;3;0.095075;0.037832;0.000138;0.000100
15;1;3;0.095101;0.038135;0.000125;0.000170
15;2;3;0.095082;0.040577;0.000112;0.000125
16;0;3;0.101230;0.042759;0.000160;0.000170
16;1;3;0.101226;0.042762;0.000135;0.000175
16;2;3;0.202060;0.035957;0.000220;0.000180
17;0;3;0.213671;0.042775;0.000156;0.000172
17;1;3;0.214752;0.040323;0.000162;0.000158
17;2;3;0.214752;0.040434;0.000143;0.000159
18;0;3;0.225907;0.045086;0.000258;0.000189
18;1;3;0.113404;0.047878;0.000286;0.000271
18;2;3;0.113391;0.047942;0.000228;0.000214
19;0;3;0.119521;0.052982;0.000141;0.000218
19;1;3;0.120133;0.049659;0.000174;0.000165
19;2;3;0.120133;0.049706;0.000184;0.000186
20;0;3;0.125672;0.057660;0.000202;0.000185
20;1;3;0.250425;0.057590;0.000178;0.000191
20;2;3;0.250437;0.057835;0.000231;0.000255
21;0;3;0.132499;0.063094;0.000194;0.000294
21;1;3;0.263351;0.063372;0.000156;0.000200
21;2;3;0.132504;0.063245;0.000258;0.000173
22;0;3;0.139410;0.065989;0.000257;0.000284
22;1;3;0.277030;0.066100;0.000249;0.000218
