n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
100;0;3;1.322610;1.527846;0.001337;0.001009
100;1;3;1.230027;1.305977;0.001091;0.001247
100;2;3;1.238798;1.912164;0.001059;0.001268
200;0;3;2.479410;6.029045;0.002280;0.002753
200;1;3;2.506340;5.839298;0.002107;0.002348
200;2;3;1.244557;5.959549;0.002211;0.002405
300;0;3;3.721967;12.450259;0.003831;nan
300;1;3;3.756218;12.126175;0.003840;0.003899
300;2;3;1.896778;12.216440;0.003614;0.003358
400;0;3;2.532792;22.373016;0.004494;nan
400;1;3;2.570180;21.848759;0.004960;0.004786
400;2;3;5.126328;21.955544;0.004471;0.005068
500;0;3;6.326875;34.550217;0.005686;nan
500;1;3;6.396523;34.683815;0.005319;0.005870
500;2;3;6.376840;34.263294;0.005698;0.005627
600;0;3;7.616983;48.370808;0.007052;nan
600;1;3;7.650062;49.115200;0.007739;0.007532
600;2;3;7.665272;49.486298;0.007917;0.007650
700;0;3;4.580011;67.110558;0.008335;nan
700;1;3;4.537355;67.977951;0.008347;0.008975
700;2;3;8.877434;68.300507;0.008401;0.008820
800;0;3;10.195432;89.325272;0.009555;nan
800;1;3;5.170364;87.917847;0.009167;0.009317
800;2;3;5.177154;89.291733;0.008921;0.009616
900;0;3;11.478515;111.272537;0.010102;nan
900;1;3;5.825741;111.109840;0.010144;0.010183
900;2;3;11.496917;110.438759;0.010313;0.010291
1000;0;3;6.456938;138.502991;0.011263;nan
1000;1;3;12.676448;134.856934;0.010896;0.011216
1000;2;3;12.630069;138.859940;0.011091;0.010917
