n;iter;niter;time_GPU_mem;time_CPU;loss_GPU_mem;loss_CPU
300;0;2;3.885500;0.000000;0.003681;0.000000
300;1;2;1.951633;0.000000;0.003911;0.018888
350;0;2;2.280376;0.000000;0.004320;0.018888
350;1;2;2.281988;0.000000;0.004389;0.018888
400;0;2;2.632363;0.000000;0.004804;0.018888
400;1;2;2.619870;0.000000;0.004606;0.018888
450;0;2;2.959475;0.000000;0.004986;0.018888
450;1;2;2.959984;0.000000;0.005106;0.018888
500;0;2;3.294801;0.000000;0.005686;0.018888
500;1;2;3.293713;0.000000;0.005319;0.018888
550;0;2;3.618334;0.000000;0.006934;0.018888
550;1;2;3.615442;0.000000;0.006681;0.018888
600;0;2;3.948293;0.000000;0.007739;0.018888
600;1;2;3.947385;0.000000;0.007917;0.018888
650;0;2;4.276802;0.000000;0.008135;0.018888
650;1;2;4.275328;0.000000;0.008290;0.018888
700;0;2;4.577611;0.000000;0.008732;0.018888
700;1;2;4.578398;0.000000;0.008086;0.018888
750;0;2;4.932296;0.000000;0.009170;0.018888
750;1;2;4.927503;0.000000;0.008806;0.018888
800;0;2;5.260520;0.000000;0.010237;0.018888
800;1;2;5.245187;0.000000;0.009834;0.018888
850;0;2;5.576072;0.000000;0.009903;0.018888
850;1;2;5.577396;0.000000;0.009663;0.018888
900;0;2;5.886396;0.000000;0.009206;0.018888
900;1;2;5.908321;0.000000;0.009731;0.018888
950;0;2;12.203998;0.000000;0.010915;0.018888
950;1;2;6.227524;0.000000;0.010026;0.018888
1000;0;2;6.572287;0.000000;0.010821;0.018888
1000;1;2;6.571243;0.000000;0.011994;0.018888
