n;iter;niter;time_GPU_mem;time_CPU;loss_GPU_mem;loss_CPU
1;0;3;0.000305;0.000000;0.000000;0.000000
1;1;3;0.000292;0.000000;0.000000;0.000000
1;2;3;0.000300;0.000000;0.000001;0.000000
2;0;3;0.017681;0.000000;0.000012;0.000000
2;1;3;0.017770;0.000000;0.000013;0.000000
2;2;3;0.017706;0.000000;0.000008;0.000000
3;0;3;0.025001;0.000000;0.000010;0.000000
3;1;3;0.025005;0.000000;0.000025;0.000000
3;2;3;0.025001;0.000000;0.000033;0.000000
4;0;3;0.030231;0.000000;0.000026;0.000000
4;1;3;0.029163;0.000000;0.000021;0.000000
4;2;3;0.029299;0.000000;0.000019;0.000000
5;0;3;0.036006;0.000000;0.000037;0.000000
5;1;3;0.035851;0.000000;0.000025;0.000000
5;2;3;0.034302;0.000000;0.000048;0.000000
6;0;3;0.039561;0.000000;0.000070;0.000000
6;1;3;0.039363;0.000000;0.000045;0.000000
6;2;3;0.039568;0.000000;0.000062;0.000000
7;0;3;0.045685;0.000000;0.000056;0.000000
7;1;3;0.045678;0.000000;0.000026;0.000000
7;2;3;0.045476;0.000000;0.000017;0.000000
8;0;3;0.051544;0.000000;0.000086;0.000000
8;1;3;0.051568;0.000000;0.000100;0.000000
8;2;3;0.051545;0.000000;0.000069;0.000000
9;0;3;0.057916;0.000000;0.000038;0.000000
9;1;3;0.057636;0.000000;0.000099;0.000000
9;2;3;0.057615;0.000000;0.000125;0.000000
10;0;3;0.063728;0.000000;0.000089;0.000000
10;1;3;0.063710;0.000000;0.000051;0.000000
10;2;3;0.064038;0.000000;0.000119;0.000000
11;0;3;0.069816;0.000000;0.000094;0.000000
11;1;3;0.070162;0.000000;0.000184;0.000000
11;2;3;0.070150;0.000000;0.000128;0.000000
12;0;3;0.075909;0.000000;0.000131;0.000000
12;1;3;0.075920;0.000000;0.000146;0.000000
12;2;3;0.075915;0.000000;0.000179;0.000000
13;0;3;0.081998;0.000000;0.000108;0.000000
13;1;3;0.082010;0.000000;0.000102;0.000000
13;2;3;0.082418;0.000000;0.000144;0.000000
14;0;3;0.088100;0.000000;0.000173;0.000000
14;1;3;0.088110;0.000000;0.000153;0.000000
14;2;3;0.088543;0.000000;0.000137;0.000000
15;0;3;0.094665;0.000000;0.000138;0.000000
15;1;3;0.094667;0.000000;0.000125;0.000000
15;2;3;0.094655;0.000000;0.000112;0.000000
16;0;3;0.100303;0.000000;0.000160;0.000000
16;1;3;0.100301;0.000000;0.000135;0.000000
16;2;3;0.100293;0.000000;0.000220;0.000000
17;0;3;0.107466;0.000000;0.000156;0.000000
17;1;3;0.107456;0.000000;0.000162;0.000000
17;2;3;0.107482;0.000000;0.000143;0.000000
18;0;3;0.113616;0.000000;0.000258;0.000000
18;1;3;0.113061;0.000000;0.000286;0.000000
18;2;3;0.113049;0.000000;0.000228;0.000000
19;0;3;0.119781;0.000000;0.000141;0.000000
19;1;3;0.119789;0.000000;0.000174;0.000000
19;2;3;0.119815;0.000000;0.000184;0.000000
20;0;3;0.125310;0.000000;0.000202;0.000000
20;1;3;0.125944;0.000000;0.000178;0.000000
20;2;3;0.125311;0.000000;0.000231;0.000000
21;0;3;0.132096;0.000000;0.000194;0.000000
21;1;3;0.132100;0.000000;0.000156;0.000000
21;2;3;0.132090;0.000000;0.000258;0.000000
22;0;3;0.139012;0.000000;0.000257;0.000000
22;1;3;0.138976;0.000000;0.000249;0.000000
22;2;3;0.138999;0.000000;0.000244;0.000000
