n;iter;niter;time_GPU;time_CPU_rand;loss_GPU;loss_CPU_rand
1;0;3;0.000000;0.001839;0.000000;0.000001
1;1;3;0.000000;0.000001;0.000000;0.000000
1;2;3;0.000000;0.001808;0.000000;0.000001
6;0;3;0.000000;0.018044;0.000000;0.000029
6;1;3;0.000000;0.016299;0.000000;0.000070
6;2;3;0.000000;0.014750;0.000000;0.000049
11;0;3;0.000000;0.038956;0.000000;0.000123
11;1;3;0.000000;0.033256;0.000000;0.000093
11;2;3;0.000000;0.029521;0.000000;0.000061
16;0;3;0.000000;0.054911;0.000000;0.000128
16;1;3;0.000000;0.047369;0.000000;0.000146
16;2;3;0.000000;0.045499;0.000000;0.000132
21;0;3;0.000000;0.071340;0.000000;0.000220
21;1;3;0.000000;0.071469;0.000000;0.000216
21;2;3;0.000000;0.075019;0.000000;0.000245
26;0;3;0.000000;0.107781;0.000000;0.000264
26;1;3;0.000000;0.107268;0.000000;0.000295
26;2;3;0.000000;0.100670;0.000000;0.000241
31;0;3;0.000000;0.134549;0.000000;0.000339
31;1;3;0.000000;0.130420;0.000000;0.000293
31;2;3;0.000000;0.129516;0.000000;0.000312
36;0;3;0.000000;0.170057;0.000000;0.000331
36;1;3;0.000000;0.170402;0.000000;0.000466
36;2;3;0.000000;0.174312;0.000000;0.000367
41;0;3;0.000000;0.222155;0.000000;0.000527
41;1;3;0.000000;0.216648;0.000000;0.000590
41;2;3;0.000000;0.216535;0.000000;0.000540
46;0;3;0.000000;0.278359;0.000000;0.000740
46;1;3;0.000000;0.272353;0.000000;0.000466
46;2;3;0.000000;0.272272;0.000000;0.000635
51;0;3;0.000000;0.333280;0.000000;0.000578
51;1;3;0.000000;0.339552;0.000000;0.000633
51;2;3;0.000000;0.333080;0.000000;0.000694
56;0;3;0.000000;0.406885;0.000000;0.000498
56;1;3;0.000000;0.392633;0.000000;0.000600
56;2;3;0.000000;0.407425;0.000000;0.000609
61;0;3;0.000000;0.472855;0.000000;0.000634
61;1;3;0.000000;0.544609;0.000000;0.000742
61;2;3;0.000000;0.561369;0.000000;0.000690
66;0;3;0.000000;0.674197;0.000000;0.000728
66;1;3;0.000000;0.667498;0.000000;0.000847
66;2;3;0.000000;0.569547;0.000000;0.000629
71;0;3;0.000000;0.647174;0.000000;0.000882
71;1;3;0.000000;0.760027;0.000000;0.000796
71;2;3;0.000000;0.650463;0.000000;0.000747
76;0;3;0.000000;0.742015;0.000000;0.000928
76;1;3;0.000000;0.742144;0.000000;0.000786
76;2;3;0.000000;0.742572;0.000000;0.001227
81;0;3;0.000000;0.830115;0.000000;0.000890
81;1;3;0.000000;0.840296;0.000000;0.001070
81;2;3;0.000000;0.840161;0.000000;0.000888
86;0;3;0.000000;1.320750;0.000000;0.000974
86;1;3;0.000000;0.990641;0.000000;0.000980
86;2;3;0.000000;0.932570;0.000000;0.001200
91;0;3;0.000000;1.134333;0.000000;0.000945
91;1;3;0.000000;1.087165;0.000000;0.000994
91;2;3;0.000000;1.039285;0.000000;0.001110
96;0;3;0.000000;1.297164;0.000000;0.001122
96;1;3;0.000000;1.409105;0.000000;0.001179
96;2;3;0.000000;1.222142;0.000000;0.001044
