n;iter;niter;time_GPU;time_CPU_double;loss_GPU;loss_CPU_double
10;0;3;0.000000;0.054462;0.000000;0.000000
10;1;3;0.000000;0.042346;0.000000;0.000000
10;2;3;0.000000;0.035741;0.000000;0.000000
35;0;3;0.000000;0.286122;0.000000;0.000000
35;1;3;0.000000;0.272089;0.000000;0.000000
35;2;3;0.000000;0.277067;0.000000;0.000000
60;0;3;0.000000;0.787376;0.000000;0.000000
60;1;3;0.000000;0.786320;0.000000;0.000000
60;2;3;0.000000;0.800261;0.000000;0.000000
85;0;3;0.000000;1.627197;0.000000;0.000000
85;1;3;0.000000;1.608135;0.000000;0.000000
85;2;3;0.000000;1.560210;0.000000;0.000000
110;0;3;0.000000;2.501620;0.000000;0.000000
110;1;3;0.000000;2.575056;0.000000;0.000000
110;2;3;0.000000;2.608355;0.000000;0.000000
135;0;3;0.000000;3.995486;0.000000;0.000000
135;1;3;0.000000;3.671404;0.000000;0.000000
135;2;3;0.000000;3.971096;0.000000;0.000000
160;0;3;0.000000;5.508932;0.000000;0.000000
160;1;3;0.000000;5.570142;0.000000;0.000000
160;2;3;0.000000;5.476201;0.000000;0.000000
185;0;3;0.000000;7.127008;0.000000;0.000000
185;1;3;0.000000;7.050421;0.000000;0.000000
185;2;3;0.000000;7.227641;0.000000;0.000000
210;0;3;0.000000;9.042855;0.000000;0.000000
210;1;3;0.000000;9.026290;0.000000;0.000000
210;2;3;0.000000;10.041614;0.000000;0.000000
235;0;3;0.000000;11.766755;0.000000;0.000000
235;1;3;0.000000;11.800042;0.000000;0.000000
235;2;3;0.000000;11.980291;0.000000;0.000000
260;0;3;0.000000;13.859755;0.000000;0.000000
260;1;3;0.000000;14.096148;0.000000;0.000000
260;2;3;0.000000;14.068634;0.000000;0.000000
285;0;3;0.000000;17.514458;0.000000;0.000000
285;1;3;0.000000;18.002356;0.000000;0.000000
285;2;3;0.000000;17.770630;0.000000;0.000000
310;0;3;0.000000;20.090185;0.000000;0.000000
310;1;3;0.000000;19.842409;0.000000;0.000000
310;2;3;0.000000;19.612202;0.000000;0.000000
335;0;3;0.000000;24.320194;0.000000;0.000000
335;1;3;0.000000;24.037178;0.000000;0.000000
335;2;3;0.000000;24.006254;0.000000;0.000000
360;0;3;0.000000;26.764303;0.000000;0.000000
360;1;3;0.000000;27.646711;0.000000;0.000000
360;2;3;0.000000;26.856298;0.000000;0.000000
385;0;3;0.000000;32.557159;0.000000;0.000000
385;1;3;0.000000;31.392139;0.000000;0.000000
385;2;3;0.000000;31.565668;0.000000;0.000000
