n;iter;niter;time_GPU;time_CPU_double;loss_GPU;loss_CPU_double
500;0;1;0;52.450333;0;0
600;0;1;0;74.01712;0;0
700;0;1;0;101.696404;0;0
800;0;1;0;135.161972;0;0
900;0;1;0;170.120331;0;0
1000;0;1;0;209.837479;0;0
