n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
79;0;3;0.490839;0.990518;0.000935;0.000847
79;1;3;0.490824;1.112815;0.001076;0.000950
79;2;3;0.972442;0.868076;0.000884;0.000770
80;0;3;0.496640;0.962329;0.000966;0.000971
80;1;3;0.496997;1.090118;0.000834;0.001012
80;2;3;0.989809;0.922910;0.000985;0.000842
81;0;3;0.502535;1.264655;0.000882;0.000915
81;1;3;1.001043;0.911370;0.000986;0.000962
81;2;3;0.500357;0.972204;0.001225;0.000945
82;0;3;0.509528;1.195449;0.001001;0.000846
82;1;3;1.009537;1.011938;0.000968;0.000989
82;2;3;0.506633;0.961593;0.000856;0.000904
83;0;3;0.515209;0.973753;0.001053;0.000929
83;1;3;0.512796;1.278522;0.000893;0.001001
83;2;3;0.512782;1.302739;0.001061;0.001045
84;0;3;1.039422;0.994669;0.000969;0.001046
84;1;3;1.038104;0.979303;0.000997;0.000970
84;2;3;0.518936;0.992759;0.001088;0.000874
85;0;3;0.528209;1.338579;0.001092;0.001075
85;1;3;1.046477;1.002534;0.001107;0.000885
85;2;3;0.528196;1.331413;0.001131;0.001001
86;0;3;1.057516;1.328152;0.001117;0.001058
86;1;3;0.534001;1.385660;0.001058;0.000968
86;2;3;0.534122;0.932488;0.001117;0.000922
87;0;3;0.540099;1.477556;0.000909;0.000996
87;1;3;1.069842;0.963508;0.000900;0.000978
87;2;3;1.071311;1.426822;0.000952;0.000963
88;0;3;0.546471;1.053402;0.001062;0.000969
88;1;3;0.546534;0.986930;0.001116;0.001065
88;2;3;1.082107;0.981806;0.000899;0.001086
89;0;3;0.552592;1.319644;0.001294;0.001067
89;1;3;0.553042;1.096548;0.001139;0.001094
89;2;3;0.552817;1.518200;0.001128;0.000930
90;0;3;0.559514;1.331597;0.001033;0.001152
90;1;3;0.559357;1.035560;0.001199;0.001007
90;2;3;0.559317;1.207703;0.000979;0.001077
91;0;3;0.565193;1.217370;0.001158;0.000989
91;1;3;0.565283;1.539317;0.001024;0.001045
91;2;3;0.565540;1.053942;0.001072;0.001118
92;0;3;1.131473;1.613367;0.001069;0.001237
92;1;3;0.571989;1.079171;0.001138;0.001043
92;2;3;0.571431;1.450645;0.001045;0.001032
93;0;3;1.145293;1.466533;0.001154;0.001072
93;1;3;0.578094;1.333337;0.001001;0.001038
93;2;3;1.143770;1.154259;0.000966;0.001095
94;0;3;1.157775;1.181795;0.000920;0.000950
94;1;3;0.583903;1.489928;0.001134;0.001077
94;2;3;0.584256;1.491789;0.001160;0.001150
95;0;3;0.590435;1.538650;0.001004;0.000972
95;1;3;0.590526;1.419674;0.000990;0.001036
95;2;3;0.593153;1.455714;0.001149;0.001004
96;0;3;0.600404;1.451725;0.001207;0.001140
96;1;3;1.190616;1.546743;0.001107;0.001059
96;2;3;0.600679;1.322999;0.001170;0.001099
97;0;3;1.209319;1.358158;0.001130;0.001134
97;1;3;0.606536;1.742765;0.001080;0.001064
97;2;3;0.606777;1.306212;0.001163;0.001076
98;0;3;1.219835;1.409926;0.001156;0.001296
98;1;3;0.612813;1.251915;0.001332;0.001080
98;2;3;0.612943;1.791699;0.001195;0.001186
99;0;3;0.619241;1.516834;0.001353;0.001142
99;1;3;1.228360;1.765294;0.000983;0.001158
99;2;3;0.619341;1.526544;0.001007;0.001117
100;0;3;1.247333;1.342050;0.001155;0.001000
100;1;3;1.241044;1.581097;0.001125;0.001335
100;2;3;0.625294;1.771384;0.001055;0.001122
101;0;3;1.250678;1.311558;0.001129;0.001217
101;1;3;0.631582;1.514595;0.001087;0.001043
101;2;3;1.257334;1.863734;0.001010;0.001155
102;0;3;1.269927;1.359648;0.001237;0.001063
102;1;3;0.637921;1.575102;0.001191;0.001242
102;2;3;1.263211;1.492313;0.001100;0.001214
103;0;3;0.644048;1.648664;0.001087;0.001109
103;1;3;0.644156;1.436750;0.001071;0.001069
103;2;3;0.644347;1.507589;0.001233;0.001083
104;0;3;0.650287;1.662984;0.001192;0.001162
104;1;3;0.650417;1.671118;0.001489;0.001216
104;2;3;1.294797;1.695477;0.001028;0.001292
105;0;3;0.656666;1.720511;0.001251;0.001241
105;1;3;0.656874;1.555337;0.001183;0.001052
105;2;3;0.656823;2.084605;0.001206;0.001129
106;0;3;0.663067;1.751174;0.001085;0.001016
106;1;3;1.319817;1.454589;0.001033;0.001204
106;2;3;0.663066;2.093776;0.001423;0.001200
107;0;3;0.669413;1.868038;0.000956;0.001162
107;1;3;0.669357;1.935086;0.001223;0.001114
107;2;3;0.669109;1.629635;0.001229;0.001053
108;0;3;1.347666;1.792149;0.001268;0.001072
108;1;3;1.344703;1.604213;0.001027;0.001338
108;2;3;1.340683;2.147609;0.001339;0.001093
109;0;3;0.681731;1.910104;0.001368;0.001252
109;1;3;0.681839;1.571786;0.001248;0.001188
109;2;3;0.681881;1.661414;0.001321;0.001187
110;0;3;0.688038;2.089399;0.001238;0.001166
110;1;3;1.372731;2.139361;0.001130;0.001388
110;2;3;0.688048;1.837372;0.001191;0.001215
111;0;3;0.694351;1.972088;0.001328;0.001241
111;1;3;0.694189;2.126705;0.001168;0.001173
111;2;3;0.694508;2.132749;0.001325;0.001212
112;0;3;0.700474;2.268102;0.001324;0.001247
112;1;3;0.700473;1.629089;0.001000;0.001325
112;2;3;1.394494;1.650072;0.001268;0.001192
113;0;3;1.402922;2.253635;0.001154;0.001304
113;1;3;1.402334;2.062966;0.001195;0.001104
113;2;3;0.706854;1.858383;0.001299;0.001328
114;0;3;1.422107;2.154239;0.001194;0.001153
114;1;3;1.415410;1.661031;0.001197;0.001249
114;2;3;0.712899;2.056379;0.001250;0.001201
115;0;3;0.719665;2.532313;0.001388;0.001235
115;1;3;1.427154;2.180141;0.001235;0.001330
115;2;3;0.719493;1.853688;0.001111;0.001213
116;0;3;0.725677;2.134365;0.001258;0.001334
116;1;3;1.447590;1.979125;0.001478;0.001265
116;2;3;1.447896;2.349370;0.001194;0.001405
117;0;3;0.732050;1.903055;0.001066;0.001376
117;1;3;0.731984;1.901368;0.001230;0.001325
117;2;3;0.731891;2.184076;0.001273;0.001287
118;0;3;0.738243;2.452047;0.001411;0.001244
118;1;3;1.472910;2.250118;0.001311;0.001189
118;2;3;1.473039;2.359929;0.001357;0.001397
119;0;3;0.744526;2.212065;0.001509;0.001212
119;1;3;0.744674;2.227447;0.001326;0.001304
119;2;3;0.744423;1.865047;0.001404;0.001339
120;0;3;0.750822;2.326972;0.001401;0.001257
120;1;3;0.750784;1.979128;0.001353;0.001392
120;2;3;1.489920;2.164377;0.001098;0.001291
121;0;3;0.757058;2.188811;0.001286;0.001132
121;1;3;0.756966;2.444054;0.001367;0.001343
121;2;3;0.757215;1.892890;0.001254;0.001359
122;0;3;1.523010;2.103148;0.001242;0.001369
122;1;3;0.763288;2.495123;0.001348;0.001124
122;2;3;1.514809;2.395867;0.001223;0.001309
123;0;3;1.535186;2.341108;0.001444;0.001396
123;1;3;0.769483;2.316253;0.001177;0.001539
123;2;3;0.769677;2.287917;0.001245;0.001357
124;0;3;0.775900;2.135690;0.001371;0.001279
124;1;3;0.775961;2.490021;0.001293;0.001453
124;2;3;1.547720;2.412484;0.001152;0.001220
125;0;3;0.782113;2.950170;0.001232;0.001387
125;1;3;1.580202;2.007066;0.001353;0.001495
125;2;3;0.782083;2.023653;0.001364;0.001414
126;0;3;0.788321;2.058469;0.001547;0.001588
126;1;3;0.788341;2.096033;0.001432;0.001297
126;2;3;1.564621;2.023420;0.001339;0.001289
127;0;3;0.794447;2.269019;0.001485;0.001321
127;1;3;1.577087;2.089626;0.001516;0.001433
127;2;3;0.794585;2.177935;0.001430;0.001235
128;0;3;0.800762;2.085763;0.001359;0.001303
128;1;3;0.800775;2.088792;0.001307;0.001455
128;2;3;0.800791;2.097372;0.001332;0.001533
129;0;3;1.613182;2.488987;0.001465;0.001448
129;1;3;1.613240;2.139775;0.001506;0.001472
129;2;3;1.613179;2.131380;0.001485;0.001458
130;0;3;1.617234;2.518176;0.001428;0.001428
130;1;3;0.813295;2.180137;0.001273;0.001617
130;2;3;1.617191;2.159895;0.001452;0.001689
131;0;3;1.629515;2.348224;0.001499;0.001499
131;1;3;0.822642;2.602812;0.001554;0.001407
131;2;3;0.845791;3.001870;0.001755;0.001499
132;0;3;0.825591;2.638447;0.001395;0.001508
132;1;3;1.642183;3.034959;0.001256;0.001510
132;2;3;1.642126;2.614478;0.001618;0.001423
133;0;3;1.663418;2.656317;0.001392;0.001684
133;1;3;1.655187;2.678952;0.001544;0.001452
133;2;3;0.835272;2.820273;0.001522;0.001485
134;0;3;1.675575;2.779226;0.001662;0.001621
134;1;3;0.841558;2.331698;0.001472;0.001500
134;2;3;1.675132;2.810092;0.001683;0.001682
135;0;3;1.679631;2.670023;0.001442;0.001646
135;1;3;1.711404;2.512022;0.001467;0.001709
135;2;3;0.844206;2.371408;0.001622;0.001638
136;0;3;0.850522;3.117020;0.001797;0.001625
136;1;3;0.850546;3.182763;0.001424;0.001736
136;2;3;0.850633;2.773955;0.001714;0.001647
137;0;3;0.856733;3.199972;0.001805;0.001779
137;1;3;1.712509;2.884712;0.001569;0.001522
137;2;3;0.856660;3.074995;0.001527;0.001374
138;0;3;0.863006;3.079012;0.001875;0.001428
138;1;3;0.862942;3.097066;0.001693;0.002107
138;2;3;1.725496;2.946439;0.001560;0.001645
139;0;3;1.737307;2.596251;0.001655;0.001669
139;1;3;1.737921;2.909612;0.001426;0.001633
139;2;3;1.763471;2.605817;0.001615;0.001790
140;0;3;1.741210;2.782336;0.001720;0.001627
140;1;3;0.878889;2.518205;0.001659;0.001670
140;2;3;0.878883;2.536037;0.001760;0.001788
141;0;3;1.753692;3.044506;0.001564;0.001604
141;1;3;0.885228;2.756704;0.001651;0.001622
141;2;3;0.881514;2.680282;0.001679;0.001760
142;0;3;1.774557;3.971808;0.001799;0.001646
142;1;3;1.774841;2.608886;0.001738;0.001743
142;2;3;1.774558;2.748517;0.001686;0.001608
143;0;3;1.777801;2.737820;0.001719;0.001552
143;1;3;0.935351;2.848654;0.001792;0.001654
143;2;3;0.897657;2.951158;0.001633;0.001782
144;0;3;1.799750;2.865328;0.001637;0.001958
144;1;3;1.799867;2.648139;0.002004;0.001593
144;2;3;1.799568;3.157586;0.001799;0.002058
145;0;3;1.802823;2.660191;0.001685;0.001643
145;1;3;1.802672;2.697512;0.001796;0.001765
145;2;3;0.906408;2.706556;0.001722;0.001717
146;0;3;0.916222;2.694597;0.001702;0.001850
146;1;3;0.916493;2.704902;0.002089;0.001737
146;2;3;1.815037;3.253208;0.001745;0.001656
147;0;3;0.952059;2.880787;0.001708;0.001830
147;1;3;0.918791;2.773721;0.001593;0.001749
147;2;3;1.827341;3.170393;0.001889;0.001873
148;0;3;1.839824;2.802343;0.001944;0.001667
148;1;3;1.839729;3.261708;0.001838;0.001684
148;2;3;0.924862;2.915017;0.001609;0.001929
149;0;3;1.851932;2.850991;0.001872;0.001588
149;1;3;0.931148;2.943817;0.002081;0.001669
149;2;3;1.852090;2.893415;0.001772;0.001638
150;0;3;1.864306;3.004609;0.001794;0.001705
150;1;3;0.937355;2.858848;0.001727;0.001992
150;2;3;0.979340;2.885367;0.001844;0.001575
