n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
1;0;3;0.010709;0.001287;0.000001;0.000001
1;1;3;0.000463;0.000001;0.000000;0.000000
1;2;3;0.010671;0.001183;0.000001;0.000001
2;0;3;0.017746;0.000003;0.000011;0.000000
2;1;3;0.017735;0.001186;0.000013;0.000023
2;2;3;0.017702;0.001196;0.000008;0.000004
3;0;3;0.047974;0.002329;0.000010;0.000022
3;1;3;0.044923;0.002006;0.000025;0.000046
3;2;3;0.022590;0.001942;0.000033;0.000022
4;0;3;0.057328;0.003359;0.000026;0.000026
4;1;3;0.054447;0.003353;0.000021;0.000022
4;2;3;0.026866;0.003353;0.000019;0.000021
5;0;3;0.032999;0.004986;0.000037;0.000052
5;1;3;0.033037;0.005069;0.000025;0.000039
5;2;3;0.032996;0.005140;0.000048;0.000036
6;0;3;0.078125;0.006979;0.000070;0.000047
6;1;3;0.039229;0.007038;0.000045;0.000045
6;2;3;0.078119;0.005825;0.000062;0.000058
7;0;3;0.045299;0.010105;0.000056;0.000056
7;1;3;0.090259;0.009321;0.000026;0.000046
7;2;3;0.045296;0.009626;0.000016;0.000059
8;0;3;0.051370;0.010195;0.000086;0.000029
8;1;3;0.051368;0.011249;0.000100;0.000053
8;2;3;0.051158;0.014328;0.000069;0.000090
9;0;3;0.057398;0.013945;0.000038;0.000089
9;1;3;0.113890;0.012532;0.000099;0.000083
9;2;3;0.113889;0.013901;0.000125;0.000061
10;0;3;0.125947;0.016618;0.000089;0.000095
10;1;3;0.063150;0.016702;0.000051;0.000090
10;2;3;0.063134;0.015083;0.000119;0.000073
11;0;3;0.069504;0.017936;0.000094;0.000096
11;1;3;0.138055;0.017973;0.000184;0.000069
11;2;3;0.138013;0.018001;0.000128;0.000080
12;0;3;0.075566;0.021812;0.000131;0.000200
12;1;3;0.150819;0.021102;0.000146;0.000114
12;2;3;0.075228;0.021108;0.000179;0.000103
13;0;3;0.162951;0.024554;0.000108;0.000172
13;1;3;0.162955;0.026451;0.000102;0.000140
13;2;3;0.162969;0.024416;0.000144;0.000157
14;0;3;0.087282;0.030452;0.000173;0.000141
14;1;3;0.174196;0.028206;0.000153;0.000078
14;2;3;0.087286;0.033445;0.000137;0.000134
15;0;3;0.093808;0.038017;0.000138;0.000100
15;1;3;0.093358;0.038013;0.000125;0.000170
15;2;3;0.093825;0.040578;0.000112;0.000125
16;0;3;0.099388;0.043242;0.000160;0.000170
16;1;3;0.099878;0.043051;0.000135;0.000175
16;2;3;0.198351;0.042955;0.000220;0.000180
17;0;3;0.211930;0.050676;0.000156;0.000172
17;1;3;0.211931;0.047893;0.000162;0.000158
17;2;3;0.211929;0.048266;0.000143;0.000159
18;0;3;0.222959;0.053811;0.000258;0.000189
18;1;3;0.111926;0.057144;0.000286;0.000271
18;2;3;0.111914;0.057153;0.000228;0.000214
19;0;3;0.117972;0.062453;0.000141;0.000218
19;1;3;0.117987;0.060190;0.000174;0.000165
19;2;3;0.118570;0.060454;0.000184;0.000186
20;0;3;0.124043;0.069159;0.000202;0.000185
20;1;3;0.247122;0.069280;0.000178;0.000191
20;2;3;0.247121;0.099233;0.000231;0.000255
21;0;3;0.131521;0.108725;0.000194;0.000294
21;1;3;0.261277;0.108557;0.000156;0.000200
21;2;3;0.131528;0.075012;0.000258;0.000173
22;0;3;0.137549;0.079346;0.000257;0.000284
22;1;3;0.273399;0.078301;0.000249;0.000218
22;2;3;0.137579;0.079674;0.000244;0.000259
23;0;3;0.143689;0.081880;0.000243;0.000195
23;1;3;0.142927;0.090923;0.000235;0.000178
23;2;3;0.142955;0.087036;0.000320;0.000152
24;0;3;0.297731;0.092349;0.000301;0.000235
24;1;3;0.149807;0.093350;0.000309;0.000262
24;2;3;0.149793;0.093511;0.000247;0.000229
25;0;3;0.308344;0.099798;0.000280;0.000264
25;1;3;0.155154;0.099608;0.000346;0.000345
25;2;3;0.308340;0.084624;0.000245;0.000233
26;0;3;0.161994;0.137871;0.000272;0.000335
26;1;3;0.162109;0.111487;0.000368;0.000348
26;2;3;0.161234;0.108857;0.000281;0.000303
27;0;3;0.167324;0.115976;0.000275;0.000227
27;1;3;0.167306;0.115552;0.000274;0.000265
27;2;3;0.168155;0.144616;0.000274;0.000418
28;0;3;0.173365;0.108047;0.000283;0.000293
28;1;3;0.173363;0.140838;0.000343;0.000341
28;2;3;0.346494;0.104305;0.000270;0.000323
29;0;3;0.180351;0.117538;0.000321;0.000346
29;1;3;0.358602;0.111885;0.000388;0.000223
29;2;3;0.358608;0.113114;0.000303;0.000294
30;0;3;0.370772;0.123848;0.000273;0.000244
30;1;3;0.370812;0.123813;0.000404;0.000384
30;2;3;0.186468;0.124528;0.000306;0.000366
31;0;3;0.191628;0.127114;0.000313;0.000358
31;1;3;0.381024;0.133192;0.000330;0.000460
31;2;3;0.381022;0.131137;0.000306;0.000376
32;0;3;0.395162;0.135033;0.000338;0.000291
32;1;3;0.198755;0.139412;0.000273;0.000249
32;2;3;0.395164;0.204001;0.000321;0.000411
33;0;3;0.203811;0.186187;0.000318;0.000321
33;1;3;0.203871;0.171485;0.000366;0.000284
33;2;3;0.204937;0.177061;0.000403;0.000374
34;0;3;0.417394;0.179052;0.000396;0.000336
34;1;3;0.417380;0.152060;0.000400;0.000494
34;2;3;0.210984;0.151737;0.000273;0.000413
35;0;3;0.217066;0.162686;0.000448;0.000347
35;1;3;0.216044;0.160429;0.000378;0.000371
35;2;3;0.431680;0.167313;0.000377;0.000247
36;0;3;0.441607;0.254100;0.000458;0.000376
36;1;3;0.444005;0.225934;0.000408;0.000473
36;2;3;0.441623;0.170818;0.000301;0.000386
37;0;3;0.228185;0.197013;0.000483;0.000434
37;1;3;0.453836;0.239171;0.000348;0.000403
37;2;3;0.456117;0.210508;0.000388;0.000411
38;0;3;0.468240;0.187975;0.000495;0.000433
38;1;3;0.235427;0.191997;0.000427;0.000453
38;2;3;0.468152;0.193841;0.000316;0.000361
39;0;3;0.241610;0.207756;0.000454;0.000409
39;1;3;0.241583;0.235781;0.000565;0.000389
39;2;3;0.477930;0.238335;0.000484;0.000525
40;0;3;0.492592;0.212927;0.000497;0.000422
40;1;3;0.492987;0.212841;0.000456;0.000327
40;2;3;0.248025;0.212951;0.000409;0.000429
41;0;3;0.255423;0.218747;0.000592;0.000409
41;1;3;0.505589;0.241844;0.000449;0.000494
41;2;3;0.508179;0.217927;0.000575;0.000528
42;0;3;0.517784;0.234801;0.000462;0.000550
42;1;3;0.260372;0.229181;0.000478;0.000453
42;2;3;0.260369;0.228790;0.000565;0.000515
43;0;3;0.266420;0.263052;0.000415;0.000433
43;1;3;0.267959;0.239303;0.000502;0.000506
43;2;3;0.267768;0.264149;0.000542;0.000539
44;0;3;0.542183;0.289564;0.000579;0.000517
44;1;3;0.274064;0.297545;0.000494;0.000401
44;2;3;0.274051;0.255930;0.000396;0.000644
45;0;3;0.280068;0.261007;0.000436;0.000509
45;1;3;0.557114;0.260707;0.000486;0.000491
45;2;3;0.280077;0.260917;0.000529;0.000476
46;0;3;0.286378;0.272897;0.000562;0.000487
46;1;3;0.284803;0.291593;0.000541;0.000630
46;2;3;0.284940;0.279201;0.000380;0.000471
47;0;3;0.581748;0.290580;0.000493;0.000463
47;1;3;0.291041;0.309952;0.000523;0.000639
47;2;3;0.292378;0.291622;0.000592;0.000607
48;0;3;0.593998;0.302645;0.000529;0.000421
48;1;3;0.297026;0.297682;0.000460;0.000471
48;2;3;0.297027;0.303112;0.000583;0.000521
49;0;3;0.606069;0.307972;0.000516;0.000522
49;1;3;0.303307;0.326957;0.000465;0.000461
49;2;3;0.304624;0.318807;0.000492;0.000506
50;0;3;0.311014;0.326935;0.000478;0.000489
50;1;3;0.309239;0.407605;0.000499;0.000541
50;2;3;0.309483;0.325343;0.000573;0.000614
51;0;3;0.315295;0.344311;0.000512;0.000503
51;1;3;0.315305;0.417086;0.000573;0.000434
51;2;3;0.626843;0.419834;0.000605;0.000753
52;0;3;0.321756;0.352744;0.000564;0.000554
52;1;3;0.639767;0.353766;0.000646;0.000529
52;2;3;0.643306;0.379120;0.000528;0.000675
53;0;3;0.329510;0.360971;0.000600;0.000590
53;1;3;0.652802;0.370455;0.000459;0.000690
53;2;3;0.655360;0.374546;0.000545;0.000464
54;0;3;0.668596;0.375842;0.000566;0.000516
54;1;3;0.335675;0.379641;0.000652;0.000606
54;2;3;0.335651;0.377019;0.000500;0.000674
55;0;3;0.339783;0.406128;0.000582;0.000591
55;1;3;0.341909;0.427692;0.000512;0.000627
55;2;3;0.341849;0.480614;0.000460;0.000575
56;0;3;0.347849;0.516476;0.000478;0.000580
56;1;3;0.347880;0.495436;0.000578;0.000608
56;2;3;0.347713;0.430467;0.000478;0.000609
57;0;3;0.352068;0.605923;0.000549;0.000663
57;1;3;0.352139;0.456703;0.000673;0.000572
57;2;3;0.701823;0.579836;0.000609;0.000685
58;0;3;0.360174;0.482207;0.000667;0.000673
58;1;3;0.716743;0.544043;0.000529;0.000505
58;2;3;0.360189;0.465493;0.000502;0.000651
59;0;3;0.726029;0.477391;0.000637;0.000517
59;1;3;0.364262;0.475976;0.000547;0.000703
59;2;3;0.366456;0.448293;0.000493;0.000676
60;0;3;0.737327;0.495561;0.000599;0.000693
60;1;3;0.372328;0.485468;0.000615;0.000636
60;2;3;0.742231;0.485493;0.000665;0.000580
61;0;3;0.378475;0.533692;0.000817;0.000665
61;1;3;0.378867;0.569433;0.000619;0.000746
61;2;3;0.753459;0.500697;0.000566;0.000622
62;0;3;0.765708;0.500243;0.000697;0.000670
62;1;3;0.384997;0.534130;0.000668;0.000728
62;2;3;0.762982;0.604326;0.000566;0.000723
63;0;3;0.778032;0.631340;0.000729;0.000636
63;1;3;0.775025;0.562510;0.000636;0.000688
63;2;3;0.391193;0.510958;0.000546;0.000599
64;0;3;0.786144;0.538573;0.000655;0.000676
64;1;3;0.397126;0.727873;0.000656;0.000652
64;2;3;0.397370;0.536610;0.000795;0.000708
65;0;3;0.401133;0.550925;0.000739;0.000640
65;1;3;0.401149;0.551845;0.000807;0.000689
65;2;3;0.798532;0.549196;0.000741;0.000601
66;0;3;0.815042;0.658849;0.000567;0.000924
66;1;3;0.407294;0.567651;0.000673;0.000741
66;2;3;0.811966;0.645329;0.000620;0.000764
67;0;3;0.828526;0.727032;0.000699;0.000660
67;1;3;0.416023;0.689964;0.000815;0.000694
67;2;3;0.415701;0.791541;0.000813;0.000777
68;0;3;0.421880;0.711287;0.000802;0.000755
68;1;3;0.421889;0.621864;0.000786;0.000657
68;2;3;0.421876;0.612124;0.000755;0.000679
69;0;3;0.428461;0.634049;0.000901;0.000733
69;1;3;0.852203;0.704779;0.000787;0.000886
69;2;3;0.428448;0.868121;0.000805;0.000809
70;0;3;0.434341;0.723855;0.000754;0.000877
70;1;3;0.434711;0.829267;0.000745;0.000802
70;2;3;0.434718;0.920058;0.000801;0.000975
71;0;3;0.878279;0.771690;0.000842;0.000832
71;1;3;0.877065;0.722952;0.000863;0.000751
71;2;3;0.440593;0.688917;0.000920;0.000898
72;0;3;0.444421;0.754837;0.000943;0.000846
72;1;3;0.444473;0.839756;0.000913;0.000948
72;2;3;0.446741;0.962990;0.000713;0.000812
73;0;3;0.453387;0.690237;0.000774;0.001026
73;1;3;0.453342;0.857875;0.000837;0.000908
73;2;3;0.450698;1.008603;0.000974;0.000950
74;0;3;0.915460;0.712647;0.001231;0.001024
74;1;3;0.915317;0.956968;0.000736;0.000871
74;2;3;0.915544;0.692375;0.000974;0.000956
75;0;3;0.926563;1.029940;0.000864;0.001172
75;1;3;0.921843;0.766127;0.000885;0.000824
75;2;3;0.926630;0.813341;0.000865;0.000974
76;0;3;0.938966;0.895209;0.000867;0.000880
76;1;3;0.472167;0.738652;0.000972;0.001008
76;2;3;0.935285;0.798958;0.001044;0.000906
77;0;3;0.478012;0.797786;0.001050;0.000915
77;1;3;0.478320;0.759148;0.001067;0.000822
77;2;3;0.475482;1.031544;0.000990;0.000839
78;0;3;0.484010;0.779599;0.000820;0.000942
78;1;3;0.484135;0.778125;0.000841;0.001047
78;2;3;0.481749;1.062493;0.000933;0.000934
