n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
1000;0;3;6.410180;0.000000;0.011364;0.000000
1000;1;3;12.567126;0.000000;0.011734;-23875569541714018304.000000
1000;2;3;6.376436;0.000000;0.011104;-23875569541714018304.000000
1010;0;3;6.466594;0.000000;0.011159;-23875604726086107136.000000
1010;1;3;6.468257;0.000000;0.011117;-23875604726086107136.000000
1010;2;3;12.823173;0.000000;0.010882;-23875604726086107136.000000
1020;0;3;6.537195;0.000000;0.010744;-23875604726086107136.000000
1020;1;3;12.886793;0.000000;0.011445;-23875604726086107136.000000
1020;2;3;6.565884;0.000000;0.011110;-23875604726086107136.000000
1030;0;3;13.112715;0.000000;0.011438;-23875604726086107136.000000
1030;1;3;6.653527;0.000000;0.011449;-23875604726086107136.000000
1030;2;3;13.113913;0.000000;0.011519;-23875604726086107136.000000
1040;0;3;13.303584;0.000000;0.011801;-23875604726086107136.000000
1040;1;3;13.238138;0.000000;0.011891;-23875604726086107136.000000
1040;2;3;13.303548;0.000000;0.012377;-23875604726086107136.000000
1050;0;3;13.364900;0.000000;0.013035;-23875604726086107136.000000
1050;1;3;13.431595;0.000000;0.012634;-23875604726086107136.000000
1050;2;3;6.781770;0.000000;0.012834;-23875604726086107136.000000
1060;0;3;13.557674;0.000000;0.012990;-23875604726086107136.000000
1060;1;3;6.843153;0.000000;0.012421;-23875604726086107136.000000
1060;2;3;13.492541;0.000000;0.012352;-23875604726086107136.000000
1070;0;3;13.618373;0.000000;0.012825;-23875604726086107136.000000
1070;1;3;6.914747;0.000000;0.013136;-23875604726086107136.000000
1070;2;3;13.618432;0.000000;0.012754;-23875604726086107136.000000
1080;0;3;13.744257;0.000000;0.013687;-23875604726086107136.000000
1080;1;3;6.973747;0.000000;0.014176;-23875604726086107136.000000
1080;2;3;6.967109;0.000000;0.013423;-23875604726086107136.000000
1090;0;3;13.872841;0.000000;0.012967;-23875604726086107136.000000
1090;1;3;7.038695;0.000000;0.013481;-23875604726086107136.000000
1090;2;3;7.037753;0.000000;0.012869;-23875604726086107136.000000
1100;0;3;7.108324;0.000000;0.013999;-23875604726086107136.000000
1100;1;3;7.104521;0.000000;0.013260;-23875604726086107136.000000
1100;2;3;14.069655;0.000000;0.013195;-23875604726086107136.000000
1110;0;3;14.131350;0.000000;0.013515;-23875604726086107136.000000
1110;1;3;14.200331;0.000000;0.014136;-23875604726086107136.000000
1110;2;3;14.201065;0.000000;0.013931;-23875604726086107136.000000
1120;0;3;7.236037;0.000000;0.013839;-23875604726086107136.000000
1120;1;3;7.236741;0.000000;0.013368;-23875604726086107136.000000
1120;2;3;14.260462;0.000000;0.013900;-23875604726086107136.000000
1130;0;3;7.303211;0.000000;0.013584;-23875604726086107136.000000
1130;1;3;7.301877;0.000000;0.013687;-23875604726086107136.000000
1130;2;3;14.391409;0.000000;0.014513;-23875604726086107136.000000
1140;0;3;7.373042;0.000000;0.014202;-23875604726086107136.000000
1140;1;3;14.518853;0.000000;0.013228;-23875604726086107136.000000
1140;2;3;14.520699;0.000000;0.014119;-23875604726086107136.000000
1150;0;3;14.645731;0.000000;0.014325;-23875604726086107136.000000
1150;1;3;14.646968;0.000000;0.014389;-23875604726086107136.000000
1150;2;3;14.719039;0.000000;0.014171;-23875604726086107136.000000
1160;0;3;7.502684;0.000000;0.015180;-23875604726086107136.000000
1160;1;3;7.500147;0.000000;0.014596;-23875604726086107136.000000
1160;2;3;14.767574;0.000000;0.014579;-23875604726086107136.000000
1170;0;3;7.566423;0.000000;0.014574;-23875604726086107136.000000
1170;1;3;7.561546;0.000000;0.014330;-23875604726086107136.000000
1170;2;3;14.894652;0.000000;0.015309;-23875604726086107136.000000
1180;0;3;15.095335;0.000000;0.015056;-23875604726086107136.000000
1180;1;3;7.625430;0.000000;0.014791;-23875604726086107136.000000
1180;2;3;7.629356;0.000000;0.014774;-23875604726086107136.000000
1190;0;3;15.223249;0.000000;0.015234;-23875604726086107136.000000
1190;1;3;15.148455;0.000000;0.014585;-23875604726086107136.000000
1190;2;3;15.148508;0.000000;0.015110;-23875604726086107136.000000
1200;0;3;15.350025;0.000000;0.014789;-23875604726086107136.000000
1200;1;3;15.273695;0.000000;0.014797;-23875604726086107136.000000
1200;2;3;15.274769;0.000000;0.015169;-23875604726086107136.000000
