n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
950;0;3;6.161554;0.000000;0.011089;0.000000
950;1;3;6.128755;0.000000;0.010483;6284144359344439296.000000
950;2;3;6.120666;0.000000;0.010529;6284144359344439296.000000
1050;0;3;6.775010;0.000000;0.012627;6284153155437461504.000000
1050;1;3;13.340237;0.000000;0.012657;6284153155437461504.000000
1050;2;3;13.406985;0.000000;0.012008;6284153155437461504.000000
1150;0;3;14.700772;0.000000;0.014885;6284153155437461504.000000
1150;1;3;7.424599;0.000000;0.014303;6284153155437461504.000000
1150;2;3;14.699425;0.000000;0.014471;6284153155437461504.000000
1250;0;3;15.963077;0.000000;0.015713;6284153155437461504.000000
1250;1;3;15.962996;0.000000;0.015725;6284153155437461504.000000
1250;2;3;15.961884;0.000000;0.015014;6284153155437461504.000000
1350;0;3;8.704266;0.000000;0.016769;6284153155437461504.000000
1350;1;3;17.242455;0.000000;0.016306;6284153155437461504.000000
1350;2;3;8.702580;0.000000;0.016684;6284153155437461504.000000
1450;0;3;18.421062;0.000000;0.018090;6284153155437461504.000000
1450;1;3;9.352421;0.000000;0.017368;6284153155437461504.000000
1450;2;3;9.349255;0.000000;0.016991;6284153155437461504.000000
