n;iter;niter;time_GPU;time_CPU_rand;loss_GPU;loss_CPU_rand
600;0;2;0.000000;56.861454;0.000000;0.008114
600;1;2;0.000000;57.177982;0.000000;0.007550
700;0;2;0.000000;79.389084;0.000000;0.008532
700;1;2;0.000000;79.363113;0.000000;0.008917
800;0;2;0.000000;104.973732;0.000000;0.010146
800;1;2;0.000000;99.682777;0.000000;0.010030
900;0;2;0.000000;132.983749;0.000000;0.010177
900;1;2;0.000000;130.822662;0.000000;0.010560
1000;0;2;0.000000;160.439148;0.000000;0.011406
1000;1;2;0.000000;159.796585;0.000000;0.011169
