n;iter;niter;time_GPU;time_CPU_rand;loss_GPU;loss_CPU_rand
300;0;2;0.000000;13.438897;0.000000;0.003917
300;1;2;0.000000;13.586663;0.000000;0.003630
350;0;2;0.000000;18.075731;0.000000;0.004286
350;1;2;0.000000;18.122650;0.000000;0.004002
400;0;2;0.000000;23.727339;0.000000;0.004692
400;1;2;0.000000;23.785276;0.000000;0.004661
450;0;2;0.000000;29.353468;0.000000;0.005037
450;1;2;0.000000;29.178617;0.000000;0.004904
500;0;2;0.000000;36.136814;0.000000;0.005698
500;1;2;0.000000;36.202934;0.000000;nan
550;0;2;0.000000;44.542122;0.000000;0.006813
550;1;2;0.000000;44.678856;0.000000;0.006831
600;0;2;0.000000;52.984768;0.000000;nan
600;1;2;0.000000;53.141960;0.000000;0.007800
