n;iter;niter;time_GPU_mem;time_CPU;loss_GPU_mem;loss_CPU
100;0;2;0.669127;0.000000;0.001337;0.000000
100;1;2;1.273594;0.000000;0.001091;0.000000
200;0;2;1.289231;0.000000;0.002546;0.000000
200;1;2;1.287503;0.000000;0.002753;0.000000
300;0;2;1.951172;0.000000;0.003722;-1078.862305
300;1;2;1.952844;0.000000;0.003831;-1078.862305
400;0;2;2.632613;0.000000;0.004646;-1078.862305
400;1;2;2.621549;0.000000;0.004803;-1078.862305
500;0;2;3.294262;0.000000;0.005301;-1078.862305
500;1;2;3.297878;0.000000;0.005369;-1078.862305
600;0;2;3.946477;0.000000;0.007534;-1078.862305
600;1;2;3.945480;0.000000;0.007662;-1078.862305
700;0;2;9.032640;0.000000;0.008529;-1078.862305
700;1;2;4.582225;0.000000;0.008303;-1078.862305
800;0;2;5.233166;0.000000;0.009378;-1078.860352
800;1;2;5.232691;0.000000;0.009140;-1078.862305
900;0;2;5.915004;0.000000;0.010133;-1078.862305
900;1;2;5.912150;0.000000;0.010452;-1078.862305
1000;0;2;6.577557;0.000000;0.011111;-1078.860352
1000;1;2;6.576575;0.000000;0.011224;-1078.862305
