n;iter;niter;time_GPU;time_CPU;loss_GPU;loss_CPU
1500;0;3;9.719485;0.000000;0.018051;0.000000
1500;1;3;19.080309;0.000000;0.017902;7685476352.000000
1500;2;3;9.676735;0.000000;0.017923;7685476352.000000
1600;0;3;10.332984;0.000000;0.017938;7685484544.000000
1600;1;3;10.323133;0.000000;0.018652;7685484544.000000
1600;2;3;20.361973;0.000000;0.019160;7685484544.000000
1700;0;3;10.987929;0.000000;0.019657;7685484544.000000
1700;1;3;10.984886;0.000000;0.019856;7685484544.000000
1700;2;3;10.974559;0.000000;0.018824;7685484544.000000
1800;0;3;23.026320;0.000000;0.020501;7685484544.000000
1800;1;3;11.708804;0.000000;0.019957;7685484544.000000
1800;2;3;11.710940;0.000000;0.020347;7685484544.000000
1900;0;3;12.369949;0.000000;0.021491;7685484544.000000
1900;1;3;24.475780;0.000000;0.021882;7685484544.000000
1900;2;3;24.356422;0.000000;0.021455;7685484544.000000
2000;0;3;25.767611;0.000000;0.023270;7685484544.000000
2000;1;3;25.770262;0.000000;0.022505;7685484544.000000
2000;2;3;25.633661;0.000000;0.021617;7685484544.000000
